cohort,cohort_years,dod_occ_code_level,dod_occ_code,geo_level,geography,y1_emp,y5_emp,y10_emp,y1_p25_earnings,y5_p25_earnings,y10_p25_earnings,y1_p50_earnings,y5_p50_earnings,y10_p50_earnings,y1_p75_earnings,y5_p75_earnings,y10_p75_earnings,status_y1_emp,status_y5_emp,status_y10_emp,status_y1_earn,status_y5_earn,status_y10_earn,y1_nonemp,y5_nonemp,y10_nonemp,status_y1_nonemp,status_y5_nonemp,status_y10_nonemp
2000,8,2,11X,S,48,1646,1769,1423,25190,35930,40310,38910,51850,58710,58770,73380,84910,1,1,1,1,1,1,,,,,,
2000,8,2,11X,S,49,64,75,61,22100,29360,49520,33140,51270,63010,71180,71640,78970,1,1,1,1,1,1,,,,,,
2000,8,2,11X,S,50,,,,,,,,,,,,,5,5,5,5,5,5,,,,,,
2000,8,2,11X,S,51,886,952,670,41610,53050,59960,69560,83590,91160,95380,115500,125500,1,1,1,1,1,1,,,,,,
2000,8,2,11X,S,53,376,379,282,26320,35020,41520,41310,52240,58970,61330,76540,86890,1,1,1,1,1,1,,,,,,
2000,8,2,11X,S,54,,,65,,,34210,,,51270,,,81430,5,5,1,5,5,1,,,,,,
2000,8,2,11X,S,55,98,117,104,19180,27070,34860,30900,37550,46850,44690,53370,66580,1,1,1,1,1,1,,,,,,
2000,8,2,11X,S,56,,,,,,,,,,,,,5,5,5,5,5,5,,,,,,
2000,8,2,12X,S,01,419,415,344,24760,37020,43290,38080,54680,68230,60120,77390,91520,1,1,1,1,1,1,,,,,,
2000,8,2,12X,S,02,112,124,100,27780,42730,48620,40560,58090,66110,60460,76060,89300,1,1,1,1,1,1,,,,,,
2000,8,2,12X,S,04,883,1146,779,34630,42740,44820,56030,68060,71460,75700,86150,90900,1,1,1,1,1,1,,,,,,
2000,8,2,12X,S,05,89,156,131,18470,26210,28230,27070,37010,43790,40000,50570,62820,1,1,1,1,1,1,,,,,,
2000,8,2,12X,S,06,1300,1443,1122,21530,32530,42850,32450,50750,64320,51570,73780,91550,1,1,1,1,1,1,,,,,,
2000,8,2,12X,S,08,927,888,630,26490,36010,45000,41690,55080,67820,65310,85850,95350,1,1,1,1,1,1,,,,,,
2000,8,2,12X,S,09,78,101,71,18870,33350,32930,34000,46270,73810,50370,62400,95690,1,1,1,1,1,1,,,,,,
2000,8,2,12X,S,10,,,,,,,,,,,,,5,5,5,5,5,5,,,,,,
2000,8,2,12X,S,11,180,324,247,57620,68930,83620,77750,97390,105800,96410,118700,131500,1,1,1,1,1,1,,,,,,
2000,8,2,12X,S,12,1351,1446,1065,23690,32860,35980,35860,48250,52580,59580,76280,81030,1,1,1,1,1,1,,,,,,
2000,8,2,12X,S,13,1321,1356,963,26210,35220,38510,39200,50640,56400,58840,72760,77470,1,1,1,1,1,1,,,,,,
2000,8,2,12X,S,15,183,164,129,30760,42090,44260,57340,69870,77310,81350,95800,100400,1,1,1,1,1,1,,,,,,
2000,8,2,12X,S,16,78,106,79,19800,25220,30410,27000,32880,43210,39280,47770,56680,1,1,1,1,1,1,,,,,,
2000,8,2,12X,S,17,374,508,437,20370,30850,38540,31620,46750,57860,51080,68740,82100,1,1,1,1,1,1,,,,,,
2000,8,2,12X,S,18,289,292,264,21710,26650,34200,32520,39280,49020,44380,56740,66030,1,1,1,1,1,1,,,,,,
2000,8,2,12X,S,19,105,145,118,19080,26530,30620,26050,39640,45830,35880,53990,67900,1,1,1,1,1,1,,,,,,
2000,8,2,12X,S,20,272,265,199,22350,30880,38430,32630,44130,57370,46380,66070,77870,1,1,1,1,1,1,,,,,,
2000,8,2,12X,S,21,464,454,346,24200,32200,37020,35690,45950,50120,48120,59040,64630,1,1,1,1,1,1,,,,,,
2000,8,2,12X,S,22,276,309,245,20890,28180,37120,31750,43100,53650,45370,61680,75510,1,1,1,1,1,1,,,,,,
2000,8,2,12X,S,23,83,89,71,20590,26650,32610,27830,36760,41380,34110,47090,54180,1,1,1,1,1,1,,,,,,
2000,8,2,12X,S,24,1002,929,688,40940,60070,61100,68010,91700,93990,91630,118300,122900,1,1,1,1,1,1,,,,,,
2000,8,2,12X,S,25,,94,177,,37980,43780,,54280,70860,,89730,98740,-1,1,1,-1,1,1,,,,,,
2000,8,2,12X,S,26,334,358,313,19500,27060,34790,28750,41100,52050,42700,58410,77640,1,1,1,1,1,1,,,,,,
2000,8,2,12X,S,27,172,194,136,21040,27830,40180,32530,42410,53170,43120,58560,74250,1,1,1,1,1,1,,,,,,
2000,8,2,12X,S,28,56,113,81,19340,30620,33280,29300,42330,48680,41710,59350,66380,1,1,1,1,1,1,,,,,,
2000,8,2,12X,S,29,338,376,318,21230,30070,33870,30720,39410,50050,46680,60290,72040,1,1,1,1,1,1,,,,,,
2000,8,2,12X,S,30,50,58,,17140,20260,,23510,27870,,34370,43050,,1,1,5,1,1,5,,,,,,
2000,8,2,12X,S,31,107,118,106,20680,32970,32300,30540,44000,44460,41140,63840,63700,1,1,1,1,1,1,,,,,,
2000,8,2,12X,S,32,212,220,160,24490,32780,35050,32830,48650,55310,49470,69870,80690,1,1,1,1,1,1,,,,,,
2000,8,2,12X,S,33,62,73,65,23310,25440,35830,32020,37030,52970,43370,56580,69640,1,1,1,1,1,1,,,,,,
2000,8,2,12X,S,34,259,263,170,25590,35040,42640,41140,60690,68560,74630,91140,108300,1,1,1,1,1,1,,,,,,
2000,8,2,12X,S,35,145,169,131,23500,33260,40050,35350,50370,61160,56010,74570,85480,1,1,1,1,1,1,,,,,,
2000,8,2,12X,S,36,594,714,567,21310,30720,41750,30990,46060,58640,45660,64820,87640,1,1,1,1,1,1,,,,,,
2000,8,2,12X,S,37,885,914,696,26070,34860,38300,40820,51400,56480,59190,76570,80340,1,1,1,1,1,1,,,,,,
2000,8,2,12X,S,38,,,67,,,44770,,,60460,,,86510,5,5,1,5,5,1,,,,,,
2000,8,2,12X,S,39,500,542,443,20400,27420,32700,28580,41980,47040,42390,60180,68110,1,1,1,1,1,1,,,,,,
2000,8,2,12X,S,40,349,374,290,21210,28550,33800,31020,42090,49670,49290,60640,66440,1,1,1,1,1,1,,,,,,
2000,8,2,12X,S,41,211,246,217,18860,28220,30950,27670,41330,48340,38190,57080,68230,1,1,1,1,1,1,,,,,,
