cohort,cohort_years,ind_level,industry,y1_emp,y5_emp,y10_emp,y1_p25_earnings,y5_p25_earnings,y10_p25_earnings,y1_p50_earnings,y5_p50_earnings,y10_p50_earnings,y1_p75_earnings,y5_p75_earnings,y10_p75_earnings,status_y1_emp,status_y5_emp,status_y10_emp,status_y1_earn,status_y5_earn,status_y10_earn,y1_nonemp,y5_nonemp,y10_nonemp,status_y1_nonemp,status_y5_nonemp,status_y10_nonemp
2004,2,N,21,588,648,889,32790,47510,60420,50820,66870,84370,64940,88840,113100,1,1,1,1,1,1,,,,,,
2004,2,N,22,201,384,495,29090,42520,51950,37680,64730,75220,54310,84520,98020,1,1,1,1,1,1,,,,,,
2004,2,N,23,3530,2513,2667,21480,29600,34240,30400,42110,50340,42410,59260,72700,1,1,1,1,1,1,,,,,,
2004,2,N,31-33,4550,4019,5060,23950,32790,37410,33880,46190,52640,47530,65050,74080,1,1,1,1,1,1,,,,,,
2004,2,N,42,2157,1986,2260,23270,31620,35550,33630,43440,50850,45340,59640,71060,1,1,1,1,1,1,,,,,,
2004,2,N,44-45,4981,3328,3011,16780,21810,23780,23370,30930,35600,33050,43260,52220,1,1,1,1,1,1,,,,,,
2004,2,N,48-49,3174,2421,2664,22820,31020,33690,33990,44560,48210,50010,64190,66950,1,1,1,1,1,1,,,,,,
2004,2,N,51,1184,1340,1332,26440,37060,42300,38910,51740,58900,63440,77420,83120,1,1,1,1,1,1,,,,,,
2004,2,N,52,884,925,1130,20790,30840,37150,30740,42450,51760,41550,56830,74860,1,1,1,1,1,1,,,,,,
2004,2,N,53,722,576,590,20560,28070,30070,30310,39170,43910,42420,53150,62470,1,1,1,1,1,1,,,,,,
2004,2,N,54,5782,5866,4897,42010,52250,50550,61410,76570,73890,85170,109000,104700,1,1,1,1,1,1,,,,,,
2004,2,N,55,430,498,643,24400,32260,40150,34470,48280,56400,55570,70890,81800,1,1,1,1,1,1,,,,,,
2004,2,N,56,6913,4464,3972,20320,26710,25760,30660,40750,40360,45510,61460,62760,1,1,1,1,1,1,,,,,,
2004,2,N,61,1507,1881,2397,26860,33850,34480,43100,49280,49620,58590,65180,66330,1,1,1,1,1,1,,,,,,
2004,2,N,62,2274,3148,3917,19800,26980,30860,28650,38350,46290,42190,54630,65440,1,1,1,1,1,1,,,,,,
2004,2,N,71,410,411,412,16990,24580,22850,22850,34860,37480,30670,48880,56120,1,1,1,1,1,1,,,,,,
2004,2,N,72,1717,1263,1295,15090,18750,19780,20270,25210,28000,28730,36600,40880,1,1,1,1,1,1,,,,,,
2004,2,N,81,1217,1078,988,21260,29140,29480,32680,43370,43230,46620,59710,61650,1,1,1,1,1,1,,,,,,
2004,2,N,92,2947,4348,4714,26310,36730,39460,34470,47030,53190,43380,62200,74200,1,1,1,1,1,1,,,,,,
2004,2,N,99,5114,9666,11880,34450,44650,48270,44530,56860,63410,57390,75330,84100,1,1,1,1,1,1,,,,,,
2006,2,N,11,132,122,,20130,24500,,28320,32300,,42730,43880,,1,1,-1,1,1,-1,,,,,,
2006,2,N,21,728,720,,39890,54710,,54650,76570,,70810,100600,,1,1,-1,1,1,-1,,,,,,
2006,2,N,22,213,331,,30580,47370,,42090,62100,,58020,83170,,1,1,-1,1,1,-1,,,,,,
2006,2,N,23,3060,2036,,23100,29900,,32410,41890,,44760,59920,,1,1,-1,1,1,-1,,,,,,
2006,2,N,31-33,4081,3802,,25750,32810,,36430,47460,,51790,67620,,1,1,-1,1,1,-1,,,,,,
2006,2,N,42,1918,1613,,25220,30810,,35270,43250,,49610,60220,,1,1,-1,1,1,-1,,,,,,
2006,2,N,44-45,3924,2635,,17500,20980,,23520,28990,,32800,40700,,1,1,-1,1,1,-1,,,,,,
2006,2,N,48-49,2676,2043,,24420,30350,,36510,45010,,53230,64270,,1,1,-1,1,1,-1,,,,,,
2006,2,N,51,1209,1086,,28190,37880,,41070,51800,,61600,77820,,1,1,-1,1,1,-1,,,,,,
2006,2,N,52,735,741,,22950,30530,,31130,42860,,43770,59730,,1,1,-1,1,1,-1,,,,,,
2006,2,N,53,594,467,,20800,26410,,31060,39080,,43950,54160,,1,1,-1,1,1,-1,,,,,,
2006,2,N,54,5685,5408,,42540,51130,,62440,75440,,89180,109600,,1,1,-1,1,1,-1,,,,,,
2006,2,N,55,435,444,,25420,34080,,37670,52620,,60080,90990,,1,1,-1,1,1,-1,,,,,,
2006,2,N,56,5717,3904,,21160,24960,,31180,37900,,45810,59630,,1,1,-1,1,1,-1,,,,,,
2006,2,N,61,1368,1622,,29210,33240,,44510,48290,,59720,66280,,1,1,-1,1,1,-1,,,,,,
2006,2,N,62,2039,2615,,20990,25190,,30010,36410,,43480,52310,,1,1,-1,1,1,-1,,,,,,
2006,2,N,71,434,402,,18550,21340,,25980,32050,,34780,47980,,1,1,-1,1,1,-1,,,,,,
2006,2,N,72,1431,1050,,16010,18890,,21440,25090,,30110,37210,,1,1,-1,1,1,-1,,,,,,
2006,2,N,81,977,888,,23660,28300,,34380,40710,,49260,56990,,1,1,-1,1,1,-1,,,,,,
2006,2,N,92,3024,3770,,28050,35700,,36360,45880,,45540,60390,,1,1,-1,1,1,-1,,,,,,
2006,2,N,99,4342,9123,,33570,44320,,43530,57470,,57730,76550,,1,1,-1,1,1,-1,,,,,,
2008,2,N,11,104,132,,22760,22330,,30700,30900,,41710,47290,,1,1,-1,1,1,-1,,,,,,
2008,2,N,21,358,772,,35520,54320,,53280,76930,,68360,100800,,1,1,-1,1,1,-1,,,,,,
2008,2,N,22,160,277,,33480,49510,,47530,67640,,59360,89480,,1,1,-1,1,1,-1,,,,,,
2008,2,N,23,1383,2002,,23270,27800,,32230,39320,,45250,56100,,1,1,-1,1,1,-1,,,,,,
2008,2,N,31-33,1910,3708,,26130,31080,,37760,43000,,57110,60350,,1,1,-1,1,1,-1,,,,,,
2008,2,N,42,929,1642,,25430,30520,,35620,42510,,51090,58550,,1,1,-1,1,1,-1,,,,,,
2008,2,N,44-45,1975,2724,,18100,19770,,22800,26920,,31720,38900,,1,1,-1,1,1,-1,,,,,,
2008,2,N,48-49,1412,1931,,26080,28640,,39090,41030,,63490,58710,,1,1,-1,1,1,-1,,,,,,
2008,2,N,51,625,865,,31030,34940,,45470,49710,,75010,72800,,1,1,-1,1,1,-1,,,,,,
2008,2,N,52,334,772,,22630,30220,,30430,43550,,40000,60160,,1,1,-1,1,1,-1,,,,,,
2008,2,N,53,284,453,,22770,25760,,30450,37210,,42520,51260,,1,1,-1,1,1,-1,,,,,,
2008,2,N,54,5338,4881,,49480,47230,,70720,70380,,99160,101000,,1,1,-1,1,1,-1,,,,,,
2008,2,N,55,203,409,,26800,32750,,43830,47130,,68230,68630,,1,1,-1,1,1,-1,,,,,,
2008,2,N,56,4005,3795,,22970,23570,,33140,34040,,52760,52180,,1,1,-1,1,1,-1,,,,,,
2008,2,N,61,915,1499,,32240,29520,,49680,43900,,65660,61400,,1,1,-1,1,1,-1,,,,,,
2008,2,N,62,1262,2498,,22200,25080,,31560,35920,,45240,50800,,1,1,-1,1,1,-1,,,,,,
2008,2,N,71,202,383,,18780,22030,,23640,30860,,31850,41770,,1,1,-1,1,1,-1,,,,,,
2008,2,N,72,767,1073,,17640,18000,,21570,23880,,29680,32890,,1,1,-1,1,1,-1,,,,,,
2008,2,N,81,647,839,,25240,26360,,36350,37860,,52270,52250,,1,1,-1,1,1,-1,,,,,,
2008,2,N,92,1802,3175,,28120,34010,,36480,43060,,45760,56850,,1,1,-1,1,1,-1,,,,,,
2008,2,N,99,4870,7692,,38480,43490,,48980,56280,,65050,76710,,1,1,-1,1,1,-1,,,,,,
2010,2,N,11,147,63,,22660,19250,,30400,26160,,40780,39280,,1,1,-1,1,1,-1,,,,,,
2010,2,N,21,761,396,,37460,44210,,55080,68740,,74790,91720,,1,1,-1,1,1,-1,,,,,,
2010,2,N,22,124,177,,30150,43050,,39580,66350,,57060,86040,,1,1,-1,1,1,-1,,,,,,
2010,2,N,23,1570,1437,,21960,27640,,30730,39060,,42840,55290,,1,1,-1,1,1,-1,,,,,,
